"filename", "language", "C++", "comment", "blank", "total"
"/home/xein/Documents/CPPTEST/Elevator/include/elevator.hpp", "C++", -31, -7, -8, -46
"/home/xein/Documents/CPPTEST/Elevator/include/elevsystem.hpp", "C++", -14, 0, -6, -20
"/home/xein/Documents/CPPTEST/Elevator/include/person.hpp", "C++", -16, -4, -4, -24
"/home/xein/Documents/CPPTEST/Elevator/include/stimula.hpp", "C++", -6, 0, -3, -9
"/home/xein/Documents/CPPTEST/Elevator/src/elevator.cpp", "C++", 68, 11, 10, 89
"/home/xein/Documents/CPPTEST/Elevator/src/elevsystem.cpp", "C++", 21, 0, 4, 25
"/home/xein/Documents/CPPTEST/Elevator/src/main.cpp", "C++", 32, 3, 9, 44
"/home/xein/Documents/CPPTEST/Elevator/src/person.cpp", "C++", 19, 4, 5, 28
"/home/xein/Documents/CPPTEST/Elevator/src/stimula.cpp", "C++", 39, 2, 2, 43
"Total", "-", 112, 9, 9, 130
