"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"/home/xein/Documents/CPPTEST/Elevator/README.md", "Markdown", 25, 0, 0, 2, 27
"/home/xein/Documents/CPPTEST/Elevator/include/elevator.hpp", "C++", 0, 43, 8, 9, 60
"/home/xein/Documents/CPPTEST/Elevator/include/elevsystem.hpp", "C++", 0, 19, 0, 6, 25
"/home/xein/Documents/CPPTEST/Elevator/include/person.hpp", "C++", 0, 25, 6, 9, 40
"/home/xein/Documents/CPPTEST/Elevator/include/stimula.hpp", "C++", 0, 13, 0, 4, 17
"/home/xein/Documents/CPPTEST/Elevator/src/elevator.cpp", "C++", 0, 166, 38, 18, 222
"/home/xein/Documents/CPPTEST/Elevator/src/elevsystem.cpp", "C++", 0, 57, 15, 10, 82
"/home/xein/Documents/CPPTEST/Elevator/src/main.cpp", "C++", 0, 33, 5, 11, 49
"/home/xein/Documents/CPPTEST/Elevator/src/person.cpp", "C++", 0, 52, 11, 12, 75
"/home/xein/Documents/CPPTEST/Elevator/src/stimula.cpp", "C++", 0, 65, 8, 4, 77
"Total", "-", 25, 473, 91, 85, 674
